Scenario,Status,Total Steps,Passed,Failed,Success Rate,Duration (ms),Start Time,End Time
"homepage/guest-quotation",FAILED,19,16,3,84.21,13140,"2026-01-22T15:13:59.055Z","2026-01-22T15:14:12.195Z"
"homepage/catalog-browsing",PASSED,26,26,0,100.00,25527,"2026-01-22T15:14:12.197Z","2026-01-22T15:14:37.724Z"
"homepage/contact-form",PASSED,8,8,0,100.00,6628,"2026-01-22T15:14:37.737Z","2026-01-22T15:14:44.365Z"
"homepage/case-studies",PASSED,7,7,0,100.00,5998,"2026-01-22T15:14:44.366Z","2026-01-22T15:14:50.364Z"
"member/login-dashboard",PASSED,9,9,0,100.00,11197,"2026-01-22T15:14:50.365Z","2026-01-22T15:15:01.562Z"
"member/orders",FAILED,18,13,5,72.22,13940,"2026-01-22T15:15:01.563Z","2026-01-22T15:15:15.503Z"
"member/quotations",FAILED,12,11,1,91.67,11047,"2026-01-22T15:15:15.504Z","2026-01-22T15:15:26.551Z"
"member/contracts",FAILED,26,25,1,96.15,30651,"2026-01-22T15:15:26.552Z","2026-01-22T15:15:57.203Z"
"member/deliveries",FAILED,13,7,6,53.85,11993,"2026-01-22T15:15:57.204Z","2026-01-22T15:16:09.197Z"
"member/invoices",PASSED,6,6,0,100.00,9396,"2026-01-22T15:16:09.245Z","2026-01-22T15:16:18.641Z"
"member/samples",FAILED,8,7,1,87.50,9452,"2026-01-22T15:16:18.642Z","2026-01-22T15:16:28.094Z"
"member/inquiries",FAILED,9,8,1,88.89,10090,"2026-01-22T15:16:28.095Z","2026-01-22T15:16:38.185Z"
"member/profile",PASSED,3,3,0,100.00,3866,"2026-01-22T15:16:38.186Z","2026-01-22T15:16:42.052Z"
"member/edit",FAILED,13,8,5,61.54,13025,"2026-01-22T15:16:42.052Z","2026-01-22T15:16:55.077Z"
"member/settings",PASSED,9,9,0,100.00,9970,"2026-01-22T15:16:55.078Z","2026-01-22T15:17:05.048Z"
"member/notifications",FAILED,29,28,1,96.55,32133,"2026-01-22T15:17:05.048Z","2026-01-22T15:17:37.181Z"
"admin/login-dashboard",PASSED,8,8,0,100.00,10681,"2026-01-22T15:17:37.182Z","2026-01-22T15:17:47.863Z"
"admin/quotations",PASSED,12,12,0,100.00,12514,"2026-01-22T15:17:47.864Z","2026-01-22T15:18:00.378Z"
"admin/approvals",PASSED,9,9,0,100.00,9954,"2026-01-22T15:18:00.379Z","2026-01-22T15:18:10.333Z"
"admin/customers",FAILED,20,16,4,80.00,20017,"2026-01-22T15:18:10.334Z","2026-01-22T15:18:30.351Z"
"admin/orders",FAILED,19,17,2,89.47,15528,"2026-01-22T15:18:30.352Z","2026-01-22T15:18:45.880Z"
"admin/contracts",PASSED,24,24,0,100.00,26656,"2026-01-22T15:18:45.881Z","2026-01-22T15:19:12.537Z"
"admin/production",FAILED,15,13,2,86.67,15033,"2026-01-22T15:19:12.538Z","2026-01-22T15:19:27.571Z"
"admin/inventory",FAILED,7,6,1,85.71,8878,"2026-01-22T15:19:27.572Z","2026-01-22T15:19:36.450Z"
"admin/shipments",FAILED,9,8,1,88.89,9924,"2026-01-22T15:19:36.452Z","2026-01-22T15:19:46.376Z"
"admin/leads",FAILED,13,11,2,84.62,12085,"2026-01-22T15:19:46.378Z","2026-01-22T15:19:58.463Z"
"admin/coupons",FAILED,33,23,10,69.70,29750,"2026-01-22T15:19:58.513Z","2026-01-22T15:20:28.263Z"
"admin/settings",FAILED,41,25,16,60.98,37952,"2026-01-22T15:20:28.265Z","2026-01-22T15:21:06.217Z"
"admin/notifications",PASSED,9,9,0,100.00,6800,"2026-01-22T15:21:06.218Z","2026-01-22T15:21:13.018Z"
"integration/guest-quotation-flow",PASSED,0,0,0,NaN,0,"2026-01-22T15:21:13.020Z","2026-01-22T15:21:13.020Z"
"integration/member-registration-flow",PASSED,0,0,0,NaN,0,"2026-01-22T15:21:13.021Z","2026-01-22T15:21:13.021Z"
"integration/order-shipping-flow",PASSED,0,0,0,NaN,0,"2026-01-22T15:21:13.022Z","2026-01-22T15:21:13.022Z"
"integration/notification-flow",PASSED,0,0,0,NaN,0,"2026-01-22T15:21:13.022Z","2026-01-22T15:21:13.022Z"
"integration/realtime-updates",PASSED,14,14,0,100.00,42981,"2026-01-22T15:21:13.023Z","2026-01-22T15:21:56.004Z"
"integration/error-performance",PASSED,0,0,0,NaN,0,"2026-01-22T15:21:56.006Z","2026-01-22T15:21:56.006Z"